ensembl_gene_id	hgnc_symbol	band	chromosome_name	start_position	end_position	gene_biotype	strand
ENSG00000142192	APP	q21.3	21	27252861	27543446	protein_coding	-1
ENSG00000101473	ACOT8	q13.12	20	44470360	44486045	protein_coding	-1
ENSG00000128908	INO80	q15.1	15	41271078	41408552	protein_coding	-1
ENSG00000140284	SLC27A2	q21.2	15	50474393	50528592	protein_coding	1
ENSG00000198033	TUBA3C	q12.11	13	19747910	19755992	protein_coding	-1
ENSG00000256222	MTRNR2L3	q13.31	20	55933496	55934878	protein_coding	-1
ENSG00000132819	RBM38	q13.31	20	55966463	55984389	protein_coding	1
ENSG00000107099	DOCK8	p24.3	9	214854	465259	protein_coding	1
ENSG00000119522	DENND1A	q33.3	9	126141933	126692431	protein_coding	-1
ENSG00000141449	GREB1L	q11.1	18	18822203	19105378	protein_coding	1
ENSG00000166265	CYYR1	q21.3	21	27838528	27945603	protein_coding	-1
ENSG00000196074	SYCP2	q13.33	20	58438618	58508710	protein_coding	-1
ENSG00000140287	HDC	q21.2	15	50534144	50558223	protein_coding	-1
ENSG00000132958	TPTE2	q12.11	13	19997017	20110903	protein_coding	-1
ENSG00000140455	USP3	q22.31	15	63796793	63886839	protein_coding	1
ENSG00000184828	ZBTB7C	q21.1	18	45553044	45937123	protein_coding	-1
ENSG00000154734	ADAMTS1	q21.3	21	28208066	28217728	protein_coding	-1
ENSG00000106689	LHX2	q33.3	9	126763949	126795580	protein_coding	1
ENSG00000154736	ADAMTS5	q21.3	21	28290231	28338832	protein_coding	-1
ENSG00000261739	GOLGA8S	q11.2	15	23599895	23612378	protein_coding	1
ENSG00000196199	MPHOSPH8	q12.11	13	20207788	20247599	protein_coding	1
ENSG00000231825	PRRC2A	p21.33	HSCHR6_MHC_SSTO	31578395	31595492	protein_coding	1
ENSG00000178997	EXD1	q15.1	15	41474923	41522941	protein_coding	-1
ENSG00000156239	N6AMT1	q21.3	21	30244513	30257693	protein_coding	-1
ENSG00000196547	MAN2A2	q26.1	15	91445448	91465814	protein_coding	1
ENSG00000107104	KANK1	p24.3	9	470291	746105	protein_coding	1
ENSG00000121390	PSPC1	q12.11	13	20248896	20357142	protein_coding	-1
ENSG00000174450	GOLGA6L2	q11.2	15	23684645	23692381	protein_coding	-1
ENSG00000119408	NEK6	q33.3	9	127019885	127115586	protein_coding	1
ENSG00000137090	DMRT1	p24.3	9	841690	969090	protein_coding	1
ENSG00000104064	GABPB1	q21.2	15	50569389	50647605	protein_coding	-1
ENSG00000179455	MKRN3	q11.2	15	23810454	23873064	protein_coding	1
ENSG00000134030	CTIF	q21.1	18	46065417	46389588	protein_coding	1
ENSG00000064218	DMRT3	p24.3	9	976964	991731	protein_coding	1
ENSG00000132950	ZMYM5	q12.11	13	20397622	20437776	protein_coding	-1
ENSG00000128322	IGLL1	q11.23	22	23915312	23922495	protein_coding	-1
ENSG00000198862	LTN1	q21.3	21	30300466	30365270	protein_coding	-1
ENSG00000254585	MAGEL2	q11.2	15	23888691	23891175	protein_coding	-1
ENSG00000182636	NDN	q11.2	15	23930565	23932450	protein_coding	-1
ENSG00000132801	ZSWIM3	q13.12	20	44486256	44507761	protein_coding	1
ENSG00000136930	PSMB7	q33.3	9	127115745	127177723	protein_coding	-1
ENSG00000185823	NPAP1	q11.2	15	24920541	24928593	protein_coding	1
ENSG00000173253	DMRT2	p24.3	9	1050354	1057552	protein_coding	1
ENSG00000168612	ZSWIM1	q13.12	20	44509866	44513905	protein_coding	1
ENSG00000124092	CTCFL	q13.31	20	56071035	56100708	protein_coding	-1
ENSG00000187446	CHP1	q15.1	15	41523037	41574043	protein_coding	1
ENSG00000261921	HYAL2	p21.31	HG325_PATCH	50355222	50360338	protein_coding	-1
ENSG00000260384	SERINC2	p35.2	HG989_PATCH	31882412	31907525	protein_coding	1
ENSG00000149634	SPATA25	q13.12	20	44515128	44516274	protein_coding	-1
ENSG00000124257	NEURL2	q13.12	20	44517264	44519926	protein_coding	-1
ENSG00000261887	C5orf30	q21.1	HG1063_PATCH	102594406	102614364	protein_coding	1
ENSG00000180264	GPR144	q33.3	9	127213423	127239379	protein_coding	1
ENSG00000104147	OIP5	q15.1	15	41601466	41624819	protein_coding	-1
ENSG00000189269	C22orf43	q11.23	22	23950639	23974508	protein_coding	-1
ENSG00000156253	RWDD2B	q21.3	21	30376705	30391699	protein_coding	-1
ENSG00000262860	LSM14A	q13.11	HSCHR19_1_CTG3_1	34663352	34720227	protein_coding	1
ENSG00000136931	NR5A1	q33.3	9	127243516	127269709	protein_coding	-1
ENSG00000101665	SMAD7	q21.1	18	46446223	46477081	protein_coding	-1
ENSG00000196227	FAM217B	q13.33	20	58508819	58523735	protein_coding	1
ENSG00000132670	PTPRA	p13	20	2844830	3019722	protein_coding	1
ENSG00000262485	TUSC2	p21.31	HG325_PATCH	50357459	50365683	protein_coding	-1
ENSG00000132825	PPP1R3D	q13.33	20	58511894	58515352	protein_coding	-1
ENSG00000236227	BRD2	p21.32	HSCHR6_MHC_MCF	32969905	32980956	protein_coding	1
ENSG00000128739	SNRPN	q11.2	15	25068794	25223870	protein_coding	1
ENSG00000260130	MYOM2	p23.3	HG19_PATCH	1993155	2113475	protein_coding	1
ENSG00000148200	NR6A1	q33.3	9	127279554	127533589	protein_coding	-1
ENSG00000124215	CDH26	q13.33	20	58533471	58609066	protein_coding	1
ENSG00000159496	RGL4	q11.23	22	24030323	24041363	protein_coding	1
ENSG00000064601	CTSA	q13.12	20	44518783	44527459	protein_coding	1
ENSG00000185585	OLFML2A	q33.3	9	127539437	127577164	protein_coding	1
ENSG00000156256	USP16	q21.3	21	30396950	30426809	protein_coding	1
ENSG00000141446	ESCO1	q11.2	18	19109242	19180845	protein_coding	-1
ENSG00000267483	RBFOX3	q25.3	HG748_PATCH	77085427	77512230	protein_coding	-1
ENSG00000121741	ZMYM2	q12.11	13	20532810	20665968	protein_coding	1
ENSG00000137804	NUSAP1	q15.1	15	41624892	41673248	protein_coding	1
ENSG00000197361	FBXL22	q22.31	15	63889552	63894627	protein_coding	1
ENSG00000136918	WDR38	q33.3	9	127615755	127620160	protein_coding	1
ENSG00000261981	ENPP7	q25.3	HG748_PATCH	77727001	77738304	protein_coding	1
ENSG00000080503	SMARCA2	p24.3	9	2015342	2193624	protein_coding	1
ENSG00000136942	RPL35	q33.3	9	127620159	127624260	protein_coding	-1
ENSG00000230141	HLA-DOA	p21.32	HSCHR6_MHC_MCF	33005421	33010855	protein_coding	-1
ENSG00000263005	RASSF1	p21.31	HG325_PATCH	50367220	50378412	protein_coding	-1
ENSG00000262762	CBX2	q25.3	HG748_PATCH	77774214	77784065	protein_coding	1
ENSG00000136950	ARPC5L	q33.3	9	127624409	127640003	protein_coding	1
ENSG00000176659	C20orf197	q13.33	20	58630980	58648008	protein_coding	1
ENSG00000262572	CBX8	q25.3	HG748_PATCH	77788214	77797765	protein_coding	-1
ENSG00000187792	ZNF70	q11.23	22	24083769	24093279	protein_coding	-1
ENSG00000167088	SNRPD1	q11.2	18	19192228	19210417	protein_coding	1
ENSG00000128218	VPREB3	q11.23	22	24094930	24096655	protein_coding	-1
ENSG00000138592	USP8	q21.2	15	50716577	50793280	protein_coding	1
ENSG00000179242	CDH4	q13.33	20	59827482	60515673	protein_coding	1
ENSG00000260355	ZNF716	p11.2	HG14_PATCH	57517884	57541253	protein_coding	1
ENSG00000136935	GOLGA1	q33.3	9	127640646	127710771	protein_coding	-1
ENSG00000169314	C22orf15	q11.23	22	24105208	24108048	protein_coding	1
ENSG00000173281	PPP1R3B	p23.1	8	8993765	9009084	protein_coding	-1
ENSG00000103657	HERC1	q22.31	15	63900817	64126141	protein_coding	-1
ENSG00000158201	ABHD3	q11.2	18	19230858	19284766	protein_coding	-1
ENSG00000262635	TDO2	q32.1	HSCHR4_1_CTG12	156775890	156841558	protein_coding	1
ENSG00000168384	HLA-DPA1	p21.32	HSCHR6_MHC_MCF	33065822	33082016	protein_coding	-1
ENSG00000250479	CHCHD10	q11.23	22	24108021	24110630	protein_coding	-1
ENSG00000124253	PCK1	q13.31	20	56136136	56141513	protein_coding	1
ENSG00000121743	GJA3	q12.11	13	20712394	20735188	protein_coding	-1
ENSG00000263238	CTSO	q32.1	HSCHR4_1_CTG12	156845270	156875063	protein_coding	-1
ENSG00000141627	DYM	q21.1	18	46570039	46987717	protein_coding	-1
ENSG00000165474	GJB2	q12.11	13	20761609	20767037	protein_coding	-1
ENSG00000140553	UNC45A	q26.1	15	91473410	91497323	protein_coding	1
ENSG00000102309	PIN4	q13.1	X	71401203	71522776	protein_coding	1
ENSG00000099953	MMP11	q11.23	22	24110413	24126503	protein_coding	1
ENSG00000261923	PDE3B	p15.2	HG873_PATCH	14665269	14892350	protein_coding	1
ENSG00000121742	GJB6	q12.11	13	20796110	20806534	protein_coding	-1
ENSG00000173611	SCAI	q33.3	9	127704887	127905785	protein_coding	-1
ENSG00000156261	CCT8	q21.3	21	30428126	30446118	protein_coding	-1
ENSG00000173273	TNKS	p23.1	8	9413424	9639856	protein_coding	1
ENSG00000130699	TAF4	q13.33	20	60528525	60640866	protein_coding	-1
ENSG00000147852	VLDLR	p24.2	9	2621834	2660053	protein_coding	1
ENSG00000186871	ERCC6L	q13.1	X	71424510	71458897	protein_coding	-1
ENSG00000266074	BAHCC1	q25.3	HG271_PATCH	79369275	79440126	protein_coding	1
ENSG00000165475	CRYL1	q12.11	13	20977806	21099996	protein_coding	-1
ENSG00000035664	DAPK2	q22.31	15	64199235	64364232	protein_coding	-1
ENSG00000137806	NDUFAF1	q15.1	15	41679551	41694717	protein_coding	-1
ENSG00000230763	HLA-DPB1	p21.32	HSCHR6_MHC_MCF	33077161	33088426	protein_coding	1
ENSG00000099956	SMARCB1	q11.23	22	24129150	24176703	protein_coding	1
ENSG00000198034	RPS4X	q13.1	X	71475529	71497150	protein_coding	-1
ENSG00000177576	C18orf32	q21.1	18	47008028	47013622	protein_coding	-1
ENSG00000262968	CYP2R1	p15.2	HG873_PATCH	14899553	14913798	protein_coding	-1
ENSG00000125787	GNRH2	p13	20	3024268	3026393	protein_coding	1
ENSG00000119414	PPP6C	q33.3	9	127908852	127952218	protein_coding	-1
ENSG00000137815	RTF1	q15.1	15	41700606	41775761	protein_coding	1
ENSG00000233348	BAG6	p21.33	HSCHR6_MHC_SSTO	31596744	31610423	protein_coding	-1
ENSG00000101752	MIB1	q11.2	18	19284918	19450918	protein_coding	1
ENSG00000124256	ZBP1	q13.31	20	56178902	56195632	protein_coding	-1
ENSG00000166797	FAM96A	q22.31	15	64364758	64386217	protein_coding	-1
ENSG00000099958	DERL3	q11.23	22	24176690	24181315	protein_coding	-1
ENSG00000168263	KCNV2	p24.2	9	2717502	2730037	protein_coding	1
ENSG00000215472	RPL17-C18orf32	q21.1	18	47008051	47017956	protein_coding	-1
ENSG00000125901	MRPS26	p13	20	3026591	3028900	protein_coding	1
ENSG00000101405	OXT	p13	20	3052266	3053163	protein_coding	1
ENSG00000149657	LSM14B	q13.33	20	60697517	60710434	protein_coding	1
ENSG00000170236	USP50	q21.2	15	50792759	50838905	protein_coding	-1
ENSG00000101200	AVP	p13	20	3063202	3065370	protein_coding	-1
ENSG00000136933	RABEPK	q33.3	9	127962821	127996437	protein_coding	1
ENSG00000147535	PPAPDC1B	p11.23	8	38120648	38126761	protein_coding	-1
ENSG00000267807	ACTG1	q25.3	HG271_PATCH	79483771	79497647	protein_coding	-1
ENSG00000102100	SLC35A2	p11.23	X	48760459	48769235	protein_coding	-1
ENSG00000080608	KIAA0020	p24.2	9	2720469	2844241	protein_coding	-1
ENSG00000032742	IFT88	q12.11	13	21140585	21265503	protein_coding	1
ENSG00000044574	HSPA5	q33.3	9	127997132	128003609	protein_coding	-1
ENSG00000156265	MAP3K7CL	q21.3	21	30449792	30548210	protein_coding	1
ENSG00000214265	SNURF	q11.2	15	25200181	25245423	protein_coding	1
ENSG00000124225	PMEPA1	q13.31	20	56223448	56286592	protein_coding	-1
ENSG00000175806	MSRA	p23.1	8	9911778	10286401	protein_coding	1
ENSG00000172458	IL17D	q12.11	13	21276266	21297237	protein_coding	1
ENSG00000028528	SNX1	q22.31	15	64386322	64438289	protein_coding	1
ENSG00000133460	SLC2A11	q11.23	22	24198890	24228496	protein_coding	1
ENSG00000092439	TRPM7	q21.2	15	50844670	50979012	protein_coding	-1
ENSG00000169762	TAPT1	p15.32	4	16162128	16229033	protein_coding	-1
ENSG00000150456	N6AMT2	q12.11	13	21302870	21348097	protein_coding	-1
ENSG00000265681	RPL17	q21.1	18	47014851	47018906	protein_coding	-1
ENSG00000102096	PIM2	p11.23	X	48770459	48776301	protein_coding	-1
ENSG00000101182	PSMA7	q13.33	20	60711791	60718496	protein_coding	-1
ENSG00000114062	UBE3A	q11.2	15	25582381	25684128	protein_coding	-1
ENSG00000176731	C8orf59	q21.2	8	86126311	86132650	protein_coding	-1
ENSG00000156273	BACH1	q21.3	21	30566392	31003071	protein_coding	1
ENSG00000124237	C20orf85	q13.32	20	56725960	56736206	protein_coding	1
ENSG00000080298	RFX3	p24.2	9	3218297	3526004	protein_coding	-1
ENSG00000100979	PLTP	q13.12	20	44527399	44540794	protein_coding	-1
ENSG00000137825	ITPKA	q15.1	15	41785591	41795747	protein_coding	1
ENSG00000124227	ANKRD60	q13.32	20	56793551	56803709	protein_coding	-1
ENSG00000132953	XPO4	q12.11	13	21351469	21477187	protein_coding	-1
ENSG00000186416	NKRF	q24	X	118722300	118739858	protein_coding	-1
ENSG00000185019	UBOX5	p13	20	3088219	3140842	protein_coding	-1
ENSG00000068308	OTUD5	p11.23	X	48779305	48815648	protein_coding	-1
ENSG00000123908	AGO2	q24.3	8	141541264	141645718	protein_coding	-1
ENSG00000187954	CYHR1	q24.3	8	145674965	145691060	protein_coding	-1
ENSG00000125931	CITED1	q13.1	X	71521488	71527037	protein_coding	-1
ENSG00000240972	MIF	q11.23	22	24236191	24237414	protein_coding	1
ENSG00000141448	GATA6	q11.2	18	19749404	19782491	protein_coding	1
ENSG00000215251	FASTKD5	p13	20	3127165	3140543	protein_coding	-1
ENSG00000124224	PPP4R1L	q13.32	20	56806188	56884495	protein_coding	-1
ENSG00000062524	LTK	q15.1	15	41795836	41806085	protein_coding	-1
ENSG00000133433	GSTT2B	q11.23	22	24299601	24303373	protein_coding	-1
ENSG00000212710	CTAGE1	q11.2	18	19993564	19997878	protein_coding	-1
ENSG00000107249	GLIS3	p24.2	9	3824127	4348392	protein_coding	-1
